time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
30.07,0.0016769745252063,0.0681710162937127,0.0261018561844091,8.78134399994104e-06,0.000588652369076338,0.000129246830169092,125.395684541187,0.409775619782835,0.0651273219607768,7.63836220914599e-06,0.0030437728532711,0.633432436539793,-2.01266977724981e-05,-9.83387618154972,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.352721361175,3.25994981502532,-0.381675391181183
30.08,0.00167715107205755,0.0681768980165533,0.0261031616414997,8.74220211124486e-06,0.000588127268432689,0.000129264910506163,125.395307474539,0.409774409358498,0.0651273265928972,7.65768929496299e-06,0.00304964992950707,0.633435458489018,-2.02579325419239e-05,-9.83380973686799,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.352337897845,3.26010457725131,-0.382411197839003
30.09,0.00167732724777621,0.0681827744840924,0.0261044672723195,8.70321882688039e-06,0.000587601413980374,0.000129282946044277,125.394929906332,0.40977319733693,0.0651273312130059,7.67694104137035e-06,0.00305552176253682,0.633438484309577,-2.03886467311645e-05,-9.83374319938179,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.35195393023,3.26025934073838,-0.383146341050605
30.1,0.00167750305390857,0.0681886456887985,0.0261057730764035,8.66439349865954e-06,0.000587074806841102,0.000129300936971285,125.394551837179,0.409771983720098,0.0651273358209244,7.69611775689975e-06,0.00306138834500718,0.63344151399504,-2.05188424686579e-05,-9.83367656918276,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.351569458958,3.26041410546852,-0.383880819892935
30.11,0.00167767849199458,0.0681945116231517,0.0261070790532884,8.62572548105156e-06,0.000586547448144905,0.000129318883474264,125.394173267695,0.409770768509969,0.0651273404164785,7.71521974881659e-06,0.00306724966957226,0.633444547539002,-2.06485218741271e-05,-9.83360984636311,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.351184484659,3.26056887142389,-0.384614633443899
30.12,0.00167785356356784,0.0682003722796432,0.0261083852025131,8.58721413117217e-06,0.000586019339029746,0.00012933678573952,125.393794198493,0.409769551708513,0.065127344999498,7.73424732312528e-06,0.00307310572889301,0.633447584935089,-2.07776870585974e-05,-9.83354303101564,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.350799007962,3.26072363858679,-0.385347780782304
30.13,0.00167802827015564,0.0682062276507758,0.0261096915236182,8.5488588087727e-06,0.000585490480641132,0.000129354643952592,125.393414630188,0.409768333317702,0.0651273495698172,7.75320078457428e-06,0.00307895651563768,0.63345062617696,-2.09063401244372e-05,-9.83347612323377,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.350413029497,3.26087840693966,-0.386080260987912
30.14,0.001678202613279,0.0682120777290637,0.026110998016146,8.51065887622932e-06,0.000584960874131727,0.000129372458298253,125.393034563398,0.409767113339509,0.0651273541272746,7.77208043666137e-06,0.00308480202248153,0.633453671258299,-2.10344831653956e-05,-9.83340912311144,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.350026549896,3.26103317646511,-0.38681207314141
30.15,0.00167837659445268,0.0682179225070325,0.0261123046796412,8.47261369853224e-06,0.000584430520660972,0.000129390228960513,125.392653998737,0.40976589177591,0.065127358671713,7.79088658163869e-06,0.00309064224210718,0.633456720172828,-2.1162118266637e-05,-9.83334203074326,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.349639569789,3.26118794714589,-0.387543216324453
30.16,0.00167855021518521,0.0682237619772196,0.0261136115136498,8.43472264327507e-06,0.000583899421394711,0.000129407956122626,125.392272936824,0.409764668628883,0.0651273632029798,7.8096195205179e-06,0.00309647716720445,0.633459772914295,-2.12892475047791e-05,-9.83327484622439,-2.5548496261166e-09,-0.0313647304957345,1.37503513817657e-08,0,0,0,0,0,0.760744961413278,0.760744961413278,125.349252089809,3.26134271896489,-0.388273689619638
